y,m,d,Ec,Ei,Es,Es_eq,ET,Rn,FILTER,ET_obs
2011,1,1,2.30,0.23,0.67,1.46,3.20,209.96,0,2.30
2011,1,2,1.98,0.00,0.34,1.47,2.32,235.99,0,2.67
2011,1,3,1.88,0.00,0.22,1.39,2.10,231.28,0,2.60
2011,1,4,2.14,0.00,0.17,1.50,2.31,240.21,0,2.61
2011,1,5,1.89,0.00,0.13,1.38,2.02,220.91,0,2.50
2011,1,6,2.30,0.00,0.12,1.59,2.42,240.87,0,2.72
2011,1,7,2.26,0.00,0.09,1.34,2.35,190.03,0,2.08
2011,1,8,2.30,0.00,0.09,1.47,2.38,207.89,0,2.37
2011,1,9,1.68,0.17,0.10,1.06,1.95,157.39,0,1.78
2011,1,10,0.62,2.95,0.34,0.34,3.91,51.59,0,0.56
2011,1,11,0.34,3.12,0.19,0.19,3.66,29.73,0,0.34
2011,1,12,0.46,4.31,0.46,0.46,5.24,70.10,0,0.79
2011,1,13,0.29,2.93,0.17,0.17,3.39,24.82,0,0.27
2011,1,14,1.00,4.25,0.59,0.59,5.83,88.88,0,1.01
2011,1,15,2.28,0.00,1.65,1.65,3.93,247.89,0,2.80
2011,1,16,2.27,0.00,1.67,1.67,3.94,245.79,0,2.68
2011,1,17,1.84,0.00,1.39,1.39,3.23,223.62,0,2.53
2011,1,18,1.73,0.00,1.28,1.28,3.01,211.31,0,2.37
2011,1,19,1.80,0.00,1.40,1.40,3.20,228.47,0,2.48
2011,1,20,2.18,0.00,1.52,1.52,3.71,235.06,0,2.66
2011,1,21,2.25,0.00,1.50,1.50,3.75,221.13,0,2.50
2011,1,22,2.13,0.00,1.57,1.57,3.69,234.19,0,2.56
2011,1,23,2.26,0.00,1.59,1.59,3.85,237.01,0,2.69
2011,1,24,1.73,0.03,1.03,1.03,2.78,159.15,0,1.79
2011,1,25,2.28,0.16,1.58,1.58,4.01,241.34,0,2.63
2011,1,26,2.05,0.18,1.54,1.54,3.76,234.33,0,2.66
2011,1,27,2.07,0.00,1.46,1.46,3.53,227.56,0,2.56
2011,1,28,1.95,0.00,1.40,1.40,3.35,222.40,0,2.42
2011,1,29,2.17,0.00,1.46,1.46,3.63,225.62,0,2.56
2011,1,30,2.41,0.00,1.61,1.61,4.02,228.36,0,2.59
2011,1,31,2.49,0.00,1.64,1.64,4.14,223.80,0,2.46
2011,2,1,2.45,0.00,1.59,1.59,4.04,216.86,0,2.48
2011,2,2,2.11,0.38,1.52,1.52,4.01,218.38,0,2.47
2011,2,3,2.27,0.38,1.56,1.56,4.20,218.58,0,2.39
2011,2,4,1.52,4.01,1.03,1.03,6.56,145.30,0,1.65
2011,2,5,0.33,3.48,0.15,0.15,3.95,22.55,0,0.25
2011,2,6,1.66,0.00,1.23,1.23,2.89,211.29,0,2.29
2011,2,7,1.75,0.00,1.29,1.29,3.04,218.84,0,2.47
2011,2,8,1.67,0.00,1.26,1.26,2.93,208.20,0,2.34
2011,2,9,1.92,0.00,1.35,1.35,3.27,211.46,0,2.30
2011,2,10,2.02,0.00,1.31,1.31,3.33,187.92,0,2.14
2011,2,11,0.57,1.18,0.24,0.24,1.99,36.20,0,0.41
2011,2,12,1.59,0.00,1.20,1.20,2.80,198.56,0,2.16
2011,2,13,1.66,0.00,1.20,1.20,2.86,200.67,0,2.27
2011,2,14,1.84,0.00,1.29,1.29,3.13,202.05,0,2.27
2011,2,15,1.87,0.00,1.22,1.22,3.08,183.77,0,2.00
2011,2,16,1.01,1.79,0.59,0.59,3.39,90.57,0,1.03
2011,2,17,1.10,2.09,0.94,0.94,4.13,145.84,0,1.64
2011,2,18,1.41,0.20,0.82,0.82,2.43,123.10,0,1.34
2011,2,19,1.74,0.52,1.31,1.31,3.57,194.48,0,2.21
2011,2,20,1.55,0.00,1.00,1.00,2.55,163.42,0,1.84
2011,2,21,1.47,0.00,0.93,0.93,2.40,161.17,0,1.75
2011,2,22,1.60,0.00,1.12,1.12,2.72,188.48,0,2.13
2011,2,23,1.79,0.00,1.19,1.19,2.98,191.91,0,2.16
2011,2,24,1.92,0.00,1.23,1.23,3.15,194.45,0,2.12
2011,2,25,1.92,0.00,1.23,1.23,3.16,188.82,0,2.14
